Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
2485,12.000,3001.599,3000.846,3001.395,3001.639,3001.845,3001.944,3002.109,3002.327,3002.327,0.000
2490,24.000,3001.678,3000.827,3001.528,3001.705,3001.879,3002.019,3002.086,3002.134,3002.150,0.000
2495,24.000,3001.672,3000.875,3001.529,3001.724,3001.840,3001.936,3002.132,3002.376,3002.557,0.000
2500,12.000,3001.699,3000.848,3001.566,3001.795,3001.900,3002.082,3002.163,3002.217,3002.217,0.000
2505,24.000,3001.661,3000.824,3001.517,3001.653,3001.901,3002.070,3002.225,3002.482,3002.632,0.000
2510,24.000,3001.740,3000.763,3001.577,3001.748,3001.982,3002.111,3002.213,3002.351,3002.591,0.000
2515,12.000,3001.692,3000.923,3001.609,3001.714,3001.831,3002.111,3002.150,3002.153,3002.153,0.000
2520,24.000,3001.784,3000.806,3001.562,3001.711,3001.909,3002.323,3002.780,3002.890,3003.109,0.000
2525,24.000,3001.570,3000.819,3001.449,3001.585,3001.759,3001.927,3002.184,3002.317,3002.665,0.000
2530,12.000,3001.523,3000.776,3001.324,3001.503,3001.680,3001.894,3002.265,3002.515,3002.515,0.000
2535,24.000,3001.631,3000.809,3001.469,3001.611,3001.834,3002.127,3002.216,3002.373,3002.426,0.000
2540,24.000,3001.622,3000.807,3001.492,3001.692,3001.845,3002.027,3002.130,3002.207,3002.450,0.000
2545,12.000,3001.600,3000.838,3001.496,3001.646,3001.807,3001.962,3002.067,3002.204,3002.204,0.000
2550,24.000,3001.599,3000.831,3001.480,3001.683,3001.792,3001.903,3001.975,3002.018,3002.291,0.000
2555,24.000,3001.585,3000.831,3001.463,3001.633,3001.765,3001.889,3002.045,3002.089,3002.099,0.000
2560,12.000,3001.605,3000.867,3001.496,3001.658,3001.820,3001.938,3002.078,3002.153,3002.153,0.000
2565,24.000,3001.641,3000.832,3001.412,3001.593,3001.876,3002.252,3002.281,3002.375,3002.393,0.000
2570,24.000,3001.647,3000.832,3001.530,3001.651,3001.813,3002.008,3002.125,3002.227,3002.341,0.000
2575,12.000,3001.644,3000.869,3001.509,3001.630,3001.824,3002.070,3002.118,3002.186,3002.186,0.000
2580,24.000,3001.728,3000.835,3001.535,3001.746,3001.941,3002.095,3002.391,3002.502,3002.502,0.000
2585,24.000,3001.598,3000.825,3001.403,3001.605,3001.748,3002.092,3002.465,3002.561,3002.562,0.000
2590,12.000,3001.690,3000.839,3001.519,3001.676,3001.918,3002.107,3002.206,3002.256,3002.256,0.000
2595,24.000,3001.596,3000.853,3001.394,3001.576,3001.761,3001.954,3002.229,3002.717,3002.834,0.000
2600,24.000,3001.541,3000.841,3001.342,3001.577,3001.733,3001.961,3002.196,3002.235,3002.424,0.000
2605,12.000,3001.740,3001.009,3001.545,3001.754,3001.914,3002.109,3002.414,3002.768,3002.768,0.000
2610,24.000,3001.697,3001.108,3001.560,3001.678,3001.823,3001.950,3002.099,3002.708,3002.712,0.000
2615,24.000,3001.663,3001.126,3001.461,3001.646,3001.841,3002.185,3002.259,3002.300,3002.320,0.000
2620,12.000,3001.673,3001.140,3001.498,3001.678,3001.842,3001.963,3002.121,3002.548,3002.548,0.000
2625,24.000,3001.718,3001.100,3001.502,3001.763,3001.874,3002.026,3002.105,3002.253,3002.259,0.000
2630,24.000,3001.792,3000.993,3001.647,3001.769,3001.935,3002.096,3002.310,3002.665,3002.720,0.000
2635,12.000,3001.594,3001.047,3001.491,3001.612,3001.780,3002.038,3002.102,3002.221,3002.221,0.000
2640,24.000,3001.780,3001.159,3001.601,3001.770,3001.928,3002.054,3002.317,3002.602,3002.674,0.000
2645,24.000,3001.674,3001.125,3001.522,3001.628,3001.764,3001.976,3002.129,3002.368,3002.383,0.000
2650,12.000,3001.760,3001.175,3001.582,3001.731,3002.011,3002.205,3002.301,3002.603,3002.603,0.000
2655,24.000,3001.803,3001.278,3001.594,3001.805,3001.978,3002.136,3002.337,3002.490,3002.501,0.000
2660,24.000,3001.644,3001.182,3001.471,3001.617,3001.795,3002.033,3002.138,3002.190,3002.195,0.000
2665,12.000,3001.694,3000.969,3001.551,3001.654,3001.706,3002.248,3002.413,3002.597,3002.597,0.000
2670,24.000,3001.790,3001.259,3001.609,3001.748,3001.891,3002.335,3002.526,3002.653,3002.712,0.000
2675,24.000,3001.700,3001.131,3001.505,3001.689,3001.841,3002.125,3002.168,3002.480,3002.514,0.000
2680,12.000,3001.763,3001.188,3001.625,3001.807,3001.939,3002.043,3002.082,3002.136,3002.136,0.000
2685,24.000,3001.677,3000.970,3001.540,3001.669,3001.810,3001.975,3002.109,3002.597,3002.642,0.000
2690,24.000,3001.720,3000.918,3001.584,3001.709,3001.845,3002.062,3002.382,3002.520,3002.528,0.000
2695,12.000,3001.674,3000.892,3001.576,3001.697,3001.837,3001.951,3002.048,3002.474,3002.474,0.000
2700,24.000,3001.760,3001.127,3001.561,3001.745,3001.958,3002.143,3002.208,3002.401,3002.418,0.000
2705,24.000,3001.620,3001.148,3001.464,3001.607,3001.746,3001.914,3002.080,3002.320,3002.383,0.000
2710,12.000,3001.616,3000.892,3001.517,3001.622,3001.776,3001.902,3001.989,3002.040,3002.040,0.000
2715,24.000,3001.701,3001.198,3001.558,3001.695,3001.790,3001.981,3002.290,3002.537,3002.559,0.000
2720,24.000,3001.736,3001.129,3001.571,3001.755,3001.878,3002.100,3002.236,3002.398,3002.477,0.000
2725,12.000,3001.612,3001.035,3001.478,3001.684,3001.778,3001.882,3001.913,3001.968,3001.968,0.000
2730,24.000,3001.757,3001.366,3001.640,3001.738,3001.846,3002.066,3002.105,3002.495,3002.591,0.000
2735,20.800,3001.697,3001.060,3001.539,3001.666,3001.894,3002.076,3002.200,3002.285,3002.330,0.000
2740,15.200,3001.652,3001.192,3001.568,3001.692,3001.749,3001.876,3001.931,3002.115,3002.115,0.000
2745,24.000,3001.708,3001.059,3001.549,3001.741,3001.855,3001.990,3002.220,3002.307,3002.333,0.000
2750,20.800,3001.694,3001.060,3001.491,3001.689,3001.844,3002.037,3002.183,3002.455,3002.549,0.000
2755,15.200,3001.698,3001.147,3001.528,3001.671,3001.835,3002.079,3002.186,3002.386,3002.386,0.000
2760,24.000,3001.749,3001.045,3001.540,3001.750,3001.954,3002.139,3002.216,3002.290,3002.365,0.000
2765,20.800,3001.649,3001.140,3001.514,3001.648,3001.789,3001.906,3001.997,3002.288,3002.364,0.000
2770,15.200,3001.687,3001.049,3001.509,3001.688,3001.864,3002.047,3002.121,3002.288,3002.288,0.000
2775,24.000,3001.632,3001.049,3001.473,3001.686,3001.809,3001.918,3001.991,3002.114,3002.312,0.000
2780,18.800,3001.718,3001.059,3001.515,3001.713,3001.885,3002.055,3002.150,3002.331,3002.331,0.000
2785,17.200,3001.735,3001.107,3001.543,3001.735,3001.902,3002.132,3002.229,3002.691,3002.691,0.000
2790,24.000,3001.786,3001.089,3001.582,3001.787,3001.893,3002.281,3002.386,3002.675,3002.753,0.000
2795,18.800,3001.687,3001.162,3001.443,3001.696,3001.848,3002.069,3002.322,3002.605,3002.605,0.000
2800,17.200,3001.782,3001.405,3001.622,3001.724,3001.876,3002.055,3002.301,3002.595,3002.595,0.000
2805,24.000,3001.743,3001.131,3001.593,3001.774,3001.923,3002.038,3002.085,3002.279,3002.651,0.000
2810,17.000,3001.710,3001.257,3001.560,3001.725,3001.810,3001.936,3001.982,3002.667,3002.667,0.000
2815,19.000,3001.729,3000.933,3001.522,3001.793,3001.988,3002.128,3002.249,3002.474,3002.474,0.000
2820,24.000,3001.619,3001.083,3001.513,3001.599,3001.704,3001.967,3002.148,3002.401,3002.425,0.000
2825,17.000,3001.685,3001.105,3001.467,3001.637,3001.794,3002.010,3002.238,3002.876,3002.876,0.000
2830,19.000,3001.763,3001.183,3001.600,3001.749,3001.867,3002.125,3002.346,3002.936,3002.936,0.000
2835,24.000,3001.713,3001.101,3001.567,3001.695,3001.800,3002.115,3002.416,3002.526,3002.531,0.000
2840,17.000,3001.615,3001.242,3001.450,3001.607,3001.712,3001.875,3001.947,3002.411,3002.411,0.000
2845,19.000,3001.800,3001.073,3001.665,3001.757,3001.896,3002.234,3002.279,3002.578,3002.578,0.000
2850,24.000,3001.860,3001.115,3001.560,3001.689,3001.866,3002.007,3002.131,3010.944,3010.945,0.000
2855,17.000,3001.594,3001.089,3001.470,3001.618,3001.725,3001.845,3001.961,3002.189,3002.189,0.000
2860,19.000,3001.608,3001.030,3001.434,3001.644,3001.752,3001.928,3002.070,3002.254,3002.254,0.000
2865,24.000,3001.591,3001.049,3001.410,3001.561,3001.761,3001.872,3002.186,3002.317,3002.358,0.000
2870,17.000,3001.702,3001.211,3001.521,3001.699,3001.849,3001.974,3002.077,3002.189,3002.189,0.000
2875,19.000,3001.919,3001.477,3001.760,3001.883,3002.025,3002.271,3002.372,3002.655,3002.655,0.000
2880,24.000,3001.750,3001.187,3001.620,3001.781,3001.927,3002.012,3002.049,3002.319,3002.429,0.000
2885,16.600,3001.690,3001.080,3001.518,3001.726,3001.828,3001.964,3002.088,3002.384,3002.384,0.000
2890,19.400,3001.655,3001.007,3001.497,3001.657,3001.826,3001.951,3002.054,3002.259,3002.259,0.000
2895,24.000,3001.685,3001.001,3001.538,3001.673,3001.851,3002.016,3002.233,3002.747,3002.836,0.000
2900,16.600,3001.690,3001.153,3001.521,3001.690,3001.810,3001.924,3001.979,3002.483,3002.483,0.000
2905,19.400,3001.739,3001.150,3001.601,3001.728,3001.934,3002.039,3002.064,3002.404,3002.404,0.000
2910,24.000,3001.707,3001.307,3001.565,3001.698,3001.815,3002.049,3002.159,3002.268,3002.269,0.000
2915,15.800,3001.609,3000.960,3001.454,3001.594,3001.736,3001.979,3002.158,3002.271,3002.271,0.000
2920,20.200,3001.682,3001.223,3001.565,3001.694,3001.795,3001.873,3002.034,3002.281,3002.379,0.000
2925,24.000,3001.636,3001.013,3001.484,3001.618,3001.764,3001.941,3002.073,3002.302,3002.313,0.000
2930,14.400,3001.691,3001.233,3001.545,3001.654,3001.839,3002.028,3002.241,3002.366,3002.366,0.000
2935,21.600,3001.825,3001.233,3001.665,3001.796,3001.953,3002.186,3002.256,3002.405,3002.846,0.000
2940,24.000,3001.725,3001.160,3001.550,3001.703,3001.921,3002.057,3002.239,3002.404,3002.424,0.000
2945,13.200,3001.776,3001.399,3001.611,3001.768,3001.941,3002.036,3002.125,3002.363,3002.363,0.000
2950,22.800,3001.633,3000.986,3001.481,3001.637,3001.792,3001.971,3002.123,3002.238,3002.252,0.000
2955,24.000,3001.731,3001.217,3001.536,3001.665,3001.920,3002.110,3002.339,3002.608,3002.620,0.000
2960,13.200,3001.722,3001.109,3001.494,3001.686,3001.962,3002.155,3002.510,3002.791,3002.791,0.000
2965,22.800,3001.646,3000.983,3001.482,3001.649,3001.836,3002.017,3002.115,3002.208,3002.288,0.000
2970,24.000,3001.633,3000.865,3001.413,3001.637,3001.825,3002.037,3002.174,3002.359,3002.505,0.000
2975,13.200,3001.522,3000.930,3001.344,3001.548,3001.698,3001.793,3001.852,3001.949,3001.949,0.000
2980,22.800,3001.625,3001.012,3001.340,3001.593,3001.794,3002.039,3002.136,3002.801,3003.066,0.000
2985,24.000,3001.606,3001.079,3001.386,3001.596,3001.836,3001.991,3002.110,3002.218,3002.327,0.000
2990,13.200,3001.675,3001.127,3001.489,3001.695,3001.878,3002.064,3002.094,3002.381,3002.381,0.000
2995,22.800,3001.643,3001.043,3001.467,3001.711,3001.854,3002.010,3002.100,3002.283,3002.339,0.000
3000,24.000,3001.613,3000.801,3001.455,3001.644,3001.912,3002.003,3002.135,3002.364,3002.372,0.000
3005,12.600,3001.524,3000.777,3001.241,3001.591,3001.722,3001.791,3001.799,3002.443,3002.443,0.000
3010,23.400,3001.647,3000.832,3001.466,3001.701,3001.820,3001.979,3002.219,3002.609,3002.669,0.000
3015,24.000,3001.597,3001.008,3001.325,3001.621,3001.854,3001.984,3002.071,3002.330,3002.628,0.000
3020,12.600,3001.663,3001.059,3001.460,3001.606,3001.871,3002.112,3002.222,3002.329,3002.329,0.000
3025,23.400,3001.637,3001.188,3001.427,3001.665,3001.777,3001.923,3002.046,3002.594,3002.664,0.000
3030,24.000,3001.576,3001.048,3001.399,3001.584,3001.755,3001.862,3001.956,3002.188,3002.517,0.000
3035,12.600,3001.501,3001.078,3001.370,3001.505,3001.630,3001.729,3001.762,3002.120,3002.120,0.000
3040,23.400,3001.650,3001.156,3001.386,3001.638,3001.822,3002.016,3002.194,3002.552,3002.613,0.000
3045,24.000,3001.586,3000.874,3001.365,3001.612,3001.774,3001.983,3002.325,3002.408,3002.411,0.000
3050,12.600,3001.597,3001.034,3001.413,3001.597,3001.705,3001.883,3002.042,3002.473,3002.473,0.000
3055,23.400,3001.630,3000.952,3001.381,3001.637,3001.841,3002.031,3002.209,3002.664,3002.745,0.000
3060,24.000,3001.520,3000.866,3001.363,3001.566,3001.754,3001.848,3001.937,3002.464,3002.509,0.000
3065,12.600,3001.539,3001.013,3001.263,3001.606,3001.809,3001.918,3001.927,3002.036,3002.036,0.000
3070,23.400,3001.527,3000.956,3001.365,3001.536,3001.698,3001.831,3001.998,3002.328,3002.339,0.000
3075,24.000,3001.607,3000.890,3001.402,3001.678,3001.799,3001.909,3002.289,3002.468,3002.481,0.000
3080,12.600,3001.534,3000.924,3001.370,3001.576,3001.729,3001.871,3001.882,3001.936,3001.936,0.000
3085,23.400,3001.451,3000.892,3001.198,3001.471,3001.659,3001.827,3001.863,3001.909,3001.941,0.000
3090,24.000,3001.442,3000.824,3001.210,3001.481,3001.637,3001.840,3001.890,3002.148,3002.260,0.000
3095,12.600,3001.480,3000.760,3001.180,3001.577,3001.708,3001.801,3001.836,3002.017,3002.017,0.000
3100,23.400,3001.531,3000.837,3001.190,3001.584,3001.774,3001.968,3002.242,3002.387,3002.399,0.000
3105,24.000,3001.559,3000.898,3001.369,3001.579,3001.719,3001.921,3002.052,3002.497,3002.517,0.000
3110,12.600,3001.498,3000.982,3001.362,3001.528,3001.616,3001.820,3001.867,3001.958,3001.958,0.000
3115,23.400,3001.650,3001.066,3001.354,3001.652,3001.837,3002.013,3002.145,3002.420,3002.429,0.000
3120,24.000,3001.591,3000.952,3001.438,3001.604,3001.788,3001.928,3002.024,3002.290,3002.579,0.000
3125,12.000,3001.564,3000.961,3001.391,3001.600,3001.784,3001.981,3002.035,3002.421,3002.421,0.000
3130,24.000,3001.458,3000.871,3001.194,3001.511,3001.683,3001.787,3001.918,3002.249,3002.435,0.000
3135,24.000,3001.620,3001.025,3001.370,3001.607,3001.843,3002.145,3002.257,3002.456,3002.967,0.000
3140,12.000,3001.661,3001.253,3001.379,3001.639,3001.887,3002.021,3002.184,3002.284,3002.284,0.000
3145,24.000,3001.655,3001.015,3001.357,3001.619,3001.857,3002.289,3002.465,3002.614,3002.618,0.000
3150,24.000,3001.490,3000.942,3001.184,3001.504,3001.704,3001.893,3002.009,3002.358,3002.372,0.000
3155,12.000,3001.469,3001.019,3001.174,3001.457,3001.714,3001.885,3002.117,3002.531,3002.531,0.000
3160,24.000,3001.571,3001.043,3001.337,3001.597,3001.744,3001.891,3002.091,3002.166,3002.875,0.000
3165,24.000,3001.583,3000.970,3001.340,3001.597,3001.838,3001.909,3002.088,3002.264,3002.271,0.000
3170,12.000,3001.505,3001.118,3001.353,3001.544,3001.657,3001.840,3001.880,3001.922,3001.922,0.000
3175,24.000,3001.624,3001.097,3001.438,3001.681,3001.822,3001.938,3001.994,3002.229,3002.327,0.000
3180,24.000,3001.611,3000.914,3001.353,3001.657,3001.835,3001.984,3002.257,3002.472,3002.479,0.000
3185,12.000,3001.561,3000.895,3001.344,3001.624,3001.791,3001.873,3001.958,3002.054,3002.054,0.000
3190,24.000,3001.601,3000.879,3001.400,3001.556,3001.862,3002.029,3002.063,3002.315,3002.482,0.000
3195,24.000,3001.532,3000.984,3001.257,3001.533,3001.793,3001.973,3002.010,3002.192,3002.252,0.000
3200,12.000,3001.486,3000.797,3001.236,3001.575,3001.691,3001.795,3001.840,3001.872,3001.872,0.000
3205,24.000,3001.484,3000.769,3001.184,3001.495,3001.702,3001.992,3002.200,3002.263,3002.283,0.000
3210,24.000,3001.525,3000.799,3001.198,3001.566,3001.845,3001.935,3002.000,3002.056,3002.374,0.000
3215,12.000,3001.538,3000.719,3001.139,3001.600,3001.809,3002.072,3002.192,3002.251,3002.251,0.000
3220,24.000,3001.504,3000.781,3001.164,3001.531,3001.772,3001.907,3001.975,3002.247,3002.264,0.000
3225,24.000,3001.502,3000.823,3001.205,3001.537,3001.717,3001.940,3002.026,3002.170,3002.243,0.000
3230,12.000,3001.542,3000.888,3001.236,3001.514,3001.833,3002.012,3002.065,3002.399,3002.399,0.000
3235,24.000,3001.551,3000.876,3001.244,3001.619,3001.780,3001.914,3001.990,3002.093,3002.112,0.000
3240,24.000,3001.654,3000.919,3001.400,3001.641,3001.873,3002.067,3002.355,3002.932,3002.944,0.000
3245,12.000,3001.577,3000.934,3001.382,3001.574,3001.780,3002.013,3002.189,3002.318,3002.318,0.000
3250,24.000,3001.508,3000.766,3001.312,3001.559,3001.750,3001.883,3001.963,3002.125,3002.201,0.000
3255,24.000,3001.486,3000.772,3001.300,3001.492,3001.690,3001.854,3001.922,3002.125,3002.336,0.000
3260,12.000,3001.513,3000.788,3001.220,3001.553,3001.880,3001.989,3002.128,3002.208,3002.208,0.000
3265,24.000,3001.422,3000.743,3001.155,3001.445,3001.666,3001.796,3001.859,3001.972,3002.122,0.000
3270,24.000,3001.472,3000.760,3001.219,3001.489,3001.704,3001.904,3002.047,3002.212,3002.227,0.000
3275,12.000,3001.479,3000.768,3001.165,3001.475,3001.692,3002.009,3002.020,3002.140,3002.140,0.000
3280,24.000,3001.465,3000.837,3001.185,3001.490,3001.699,3001.821,3002.083,3002.306,3002.380,0.000
3285,24.000,3001.474,3000.867,3001.233,3001.528,3001.700,3001.872,3001.892,3001.953,3001.995,0.000
3290,12.000,3001.502,3000.954,3001.276,3001.533,3001.680,3001.853,3001.894,3001.998,3001.998,0.000
3295,24.000,3001.587,3000.966,3001.324,3001.629,3001.726,3001.940,3002.127,3002.412,3002.533,0.000
3300,24.000,3001.586,3001.058,3001.455,3001.559,3001.664,3001.982,3002.100,3002.218,3002.219,0.000
3305,12.000,3001.561,3001.118,3001.413,3001.568,3001.718,3001.789,3001.813,3001.918,3001.918,0.000
3310,24.000,3001.582,3001.004,3001.385,3001.589,3001.721,3001.943,3002.136,3002.434,3002.443,0.000
3315,24.000,3001.548,3001.037,3001.355,3001.580,3001.765,3001.810,3001.875,3002.133,3002.170,0.000
3320,12.000,3001.450,3000.995,3001.252,3001.422,3001.664,3001.748,3001.984,3002.158,3002.158,0.000
3325,24.000,3001.577,3000.971,3001.324,3001.608,3001.767,3001.954,3002.085,3002.348,3002.390,0.000
3330,24.000,3001.571,3001.031,3001.376,3001.608,3001.736,3001.901,3002.052,3002.304,3002.429,0.000
3335,12.000,3001.583,3001.057,3001.362,3001.608,3001.770,3002.049,3002.173,3002.271,3002.271,0.000
3340,24.000,3001.520,3001.030,3001.366,3001.546,3001.664,3001.820,3001.857,3001.965,3001.981,0.000
3345,24.000,3001.551,3001.062,3001.415,3001.581,3001.673,3001.828,3001.865,3002.063,3002.442,0.000
3350,12.000,3001.503,3000.860,3001.271,3001.518,3001.764,3001.909,3001.966,3002.038,3002.038,0.000
3355,24.000,3001.539,3001.058,3001.367,3001.561,3001.706,3001.810,3001.907,3002.201,3002.210,0.000
3360,24.000,3001.493,3000.866,3001.254,3001.488,3001.666,3001.844,3001.945,3002.210,3002.313,0.000
3365,12.000,3001.624,3001.026,3001.466,3001.659,3001.828,3001.892,3002.265,3002.436,3002.436,0.000
3370,24.000,3001.482,3001.003,3001.275,3001.470,3001.621,3001.799,3001.814,3002.212,3002.242,0.000
3375,24.000,3001.563,3001.016,3001.391,3001.574,3001.676,3001.884,3002.138,3002.326,3002.328,0.000
3380,12.000,3001.539,3000.970,3001.388,3001.553,3001.665,3001.821,3002.029,3002.282,3002.282,0.000
3385,24.000,3001.516,3000.918,3001.309,3001.520,3001.691,3001.846,3001.893,3002.345,3002.399,0.000
3390,24.000,3001.497,3000.876,3001.314,3001.542,3001.718,3001.839,3001.873,3002.033,3002.047,0.000
3395,12.000,3001.479,3000.914,3001.298,3001.535,3001.673,3001.755,3001.865,3001.921,3001.921,0.000
3400,24.000,3001.555,3000.977,3001.423,3001.523,3001.693,3001.823,3002.167,3002.399,3002.405,0.000
3405,24.000,3001.464,3000.936,3001.246,3001.491,3001.628,3001.807,3001.978,3002.035,3002.103,0.000
3410,12.000,3001.548,3001.109,3001.285,3001.609,3001.782,3001.820,3002.154,3002.178,3002.178,0.000
3415,24.000,3001.470,3000.980,3001.246,3001.483,3001.646,3001.801,3001.885,3002.100,3002.385,0.000
3420,24.000,3001.554,3001.120,3001.360,3001.522,3001.723,3001.976,3002.100,3002.491,3002.526,0.000
3425,12.000,3001.586,3001.080,3001.421,3001.552,3001.741,3001.891,3002.014,3002.231,3002.231,0.000
3430,24.000,3001.620,3001.008,3001.438,3001.613,3001.781,3002.037,3002.133,3002.397,3002.415,0.000
3435,24.000,3001.563,3000.892,3001.307,3001.586,3001.799,3001.899,3002.025,3002.370,3002.519,0.000
3440,12.000,3001.551,3000.815,3001.371,3001.627,3001.787,3001.914,3002.083,3002.098,3002.098,0.000
3445,24.000,3001.622,3000.967,3001.468,3001.608,3001.802,3001.973,3002.035,3002.423,3002.444,0.000
3450,24.000,3001.596,3000.916,3001.399,3001.596,3001.742,3001.947,3002.337,3002.470,3002.496,0.000
3455,12.000,3001.596,3001.070,3001.305,3001.628,3001.865,3001.947,3001.952,3002.673,3002.673,0.000
3460,24.000,3001.531,3000.813,3001.382,3001.544,3001.675,3001.904,3002.016,3002.372,3002.474,0.000
3465,24.000,3001.585,3000.852,3001.294,3001.644,3001.809,3002.015,3002.155,3002.318,3002.408,0.000
3470,12.000,3001.653,3001.094,3001.333,3001.600,3001.996,3002.251,3002.362,3002.697,3002.697,0.000
3475,24.000,3001.632,3000.992,3001.429,3001.651,3001.852,3001.968,3002.026,3002.140,3002.738,0.000
3480,24.000,3001.675,3000.945,3001.400,3001.659,3001.847,3002.218,3002.539,3002.644,3002.714,0.000
3485,12.000,3001.564,3000.797,3001.393,3001.600,3001.732,3002.071,3002.167,3002.335,3002.335,0.000
3490,24.000,3001.487,3000.781,3001.286,3001.499,3001.651,3001.945,3002.115,3002.382,3002.407,0.000
3495,24.000,3001.518,3000.810,3001.315,3001.605,3001.698,3001.906,3001.969,3002.155,3002.250,0.000
3500,12.000,3001.553,3000.864,3001.312,3001.653,3001.725,3001.898,3002.042,3002.176,3002.176,0.000
3505,24.000,3001.620,3001.045,3001.372,3001.659,3001.807,3001.934,3002.245,3002.431,3002.462,0.000
3510,24.000,3001.506,3000.757,3001.237,3001.475,3001.729,3001.912,3002.133,3002.306,3002.439,0.000
3515,12.000,3001.552,3000.950,3001.285,3001.583,3001.773,3001.986,3002.167,3002.400,3002.400,0.000
3520,24.000,3001.611,3000.893,3001.330,3001.692,3001.855,3001.980,3002.078,3002.268,3002.453,0.000
3525,24.000,3001.595,3000.856,3001.332,3001.661,3001.801,3002.017,3002.126,3002.244,3002.312,0.000
3530,12.000,3001.600,3000.774,3001.399,3001.615,3001.826,3002.063,3002.202,3002.508,3002.508,0.000
3535,24.000,3001.585,3000.869,3001.357,3001.639,3001.806,3001.935,3002.023,3002.543,3002.595,0.000
3540,24.000,3001.594,3000.932,3001.435,3001.569,3001.807,3002.126,3002.227,3002.304,3002.349,0.000
3545,12.000,3001.577,3000.932,3001.443,3001.587,3001.774,3001.916,3002.070,3002.241,3002.241,0.000
3550,24.000,3001.678,3000.976,3001.457,3001.714,3001.902,3002.149,3002.329,3002.643,3002.830,0.000
3555,24.000,3001.577,3000.861,3001.344,3001.622,3001.781,3002.012,3002.074,3002.411,3002.414,0.000
3560,12.000,3001.624,3000.969,3001.449,3001.654,3001.786,3002.115,3002.247,3002.299,3002.299,0.000
3565,24.000,3001.690,3000.954,3001.559,3001.696,3001.887,3002.162,3002.302,3002.397,3002.477,0.000
3570,24.000,3001.559,3000.912,3001.267,3001.597,3001.808,3001.958,3002.012,3002.143,3002.225,0.000
3575,12.000,3001.700,3001.078,3001.389,3001.698,3002.040,3002.235,3002.286,3002.614,3002.614,0.000
3580,24.000,3001.542,3000.823,3001.319,3001.548,3001.703,3002.044,3002.186,3002.305,3002.450,0.000
3585,24.000,3001.614,3000.768,3001.389,3001.688,3001.842,3002.048,3002.164,3002.395,3002.401,0.000
3590,12.000,3001.577,3000.871,3001.390,3001.625,3001.834,3002.002,3002.041,3002.074,3002.074,0.000
3595,12.000,3001.628,3001.097,3001.381,3001.632,3001.820,3002.129,3002.245,3002.544,3002.544,0.000
