Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
420,688.200,82.675,0.108,1.851,3.255,60.083,219.642,442.453,1125.374,1791.707,0.012
425,952.000,64.175,0.108,1.892,3.029,58.002,174.548,319.549,736.211,2228.112,0.016
430,466.400,135.003,0.111,1.782,2.875,92.908,391.835,832.443,1598.261,2961.464,0.007
435,438.800,129.069,0.107,1.788,4.037,87.594,393.268,738.890,1573.855,3244.124,0.008
440,527.600,115.164,0.111,1.794,3.019,98.681,299.818,627.634,1615.435,2941.869,0.009
445,818.400,74.500,0.112,1.875,5.603,62.656,188.756,316.655,1083.626,1753.422,0.013
450,589.000,107.617,0.104,1.841,3.176,108.416,291.073,517.295,1318.408,3387.302,0.009
455,706.200,78.643,0.109,1.914,3.954,71.201,216.659,342.152,1046.760,2375.583,0.013
460,583.000,101.482,0.109,1.830,3.261,108.970,301.729,532.396,1058.217,1727.667,0.010
465,724.400,79.531,0.106,1.857,5.262,67.843,210.858,447.769,898.046,1876.805,0.013
470,597.400,106.835,0.107,1.814,2.558,84.779,328.966,608.905,1291.066,3278.965,0.009
475,683.600,83.681,0.105,1.859,5.613,71.725,249.896,407.427,930.075,2361.989,0.012
480,668.000,99.997,0.106,1.862,4.486,76.125,283.765,524.133,1328.869,3507.081,0.010
485,503.600,114.429,0.108,1.812,4.027,80.575,357.394,635.796,1396.071,2633.715,0.009
490,500.400,113.099,0.108,1.815,3.078,101.917,344.725,618.840,1340.734,2193.794,0.009
495,467.400,126.868,0.105,1.874,5.240,107.538,434.579,734.002,1302.499,2223.313,0.008
500,29.800,3834.805,0.128,2.706,81.883,9331.825,9537.665,9596.877,9606.196,9606.988,0.000
505,12.000,3007.677,3003.946,3006.468,3007.724,3009.086,3010.072,3010.465,3012.351,3012.351,0.000
510,12.000,3002.225,3001.259,3001.842,3002.135,3002.515,3002.867,3003.781,3004.225,3004.225,0.000
515,24.000,3001.613,3001.035,3001.280,3001.488,3001.917,3002.229,3002.357,3002.543,3002.556,0.000
520,24.000,3001.640,3000.956,3001.293,3001.612,3002.040,3002.173,3002.309,3002.619,3002.840,0.000
525,12.000,3001.644,3000.964,3001.348,3001.635,3001.950,3002.190,3002.262,3002.581,3002.581,0.000
530,24.000,3001.732,3001.014,3001.306,3001.761,3002.037,3002.395,3002.519,3002.628,3002.950,0.000
535,24.000,3001.767,3001.035,3001.479,3001.812,3002.007,3002.245,3002.590,3002.824,3002.832,0.000
540,12.000,3002.122,3000.928,3001.760,3002.066,3002.549,3002.896,3003.277,3003.548,3003.548,0.000
545,24.000,3001.813,3000.791,3001.400,3001.731,3002.220,3002.681,3002.921,3003.189,3003.235,0.000
550,24.000,3001.583,3000.662,3001.216,3001.551,3001.916,3002.286,3002.385,3002.425,3002.520,0.000
555,12.000,3001.774,3000.948,3001.474,3001.812,3001.989,3002.478,3002.484,3002.575,3002.575,0.000
560,24.000,3001.944,3000.762,3001.706,3001.944,3002.201,3002.633,3002.872,3002.933,3002.935,0.000
565,24.000,3001.850,3000.813,3001.613,3001.923,3002.090,3002.380,3002.516,3002.791,3002.840,0.000
570,12.000,3001.816,3000.709,3001.668,3001.856,3002.103,3002.241,3002.340,3002.359,3002.359,0.000
575,24.000,3001.972,3000.693,3001.836,3001.965,3002.184,3002.427,3002.662,3002.897,3002.963,0.000
580,24.000,3001.886,3000.783,3001.735,3001.859,3002.064,3002.275,3002.722,3002.804,3002.837,0.000
585,12.000,3002.031,3000.688,3001.874,3001.981,3002.211,3002.338,3002.731,3003.810,3003.810,0.000
590,24.000,3001.820,3000.678,3001.673,3001.862,3001.982,3002.220,3002.460,3002.686,3002.730,0.000
595,24.000,3001.795,3000.882,3001.612,3001.824,3002.022,3002.220,3002.281,3002.636,3002.711,0.000
600,12.000,3001.638,3001.077,3001.459,3001.702,3001.839,3001.890,3001.900,3001.959,3001.959,0.000
605,24.000,3001.789,3001.242,3001.623,3001.792,3001.944,3002.121,3002.278,3002.379,3002.601,0.000
610,24.000,3001.922,3001.157,3001.693,3001.917,3002.204,3002.369,3002.400,3003.103,3003.190,0.000
615,12.000,3001.736,3000.753,3001.565,3001.701,3001.835,3002.111,3002.569,3002.706,3002.706,0.000
620,24.000,3001.650,3000.837,3001.461,3001.665,3001.793,3002.040,3002.187,3002.649,3002.727,0.000
625,24.000,3001.742,3000.737,3001.578,3001.744,3001.908,3002.127,3002.236,3002.532,3002.593,0.000
630,12.000,3001.644,3000.723,3001.539,3001.651,3001.794,3001.911,3002.046,3002.209,3002.209,0.000
635,24.000,3001.633,3000.692,3001.472,3001.620,3001.845,3001.965,3002.079,3002.215,3002.284,0.000
640,24.000,3001.702,3000.666,3001.451,3001.737,3001.880,3002.126,3002.284,3002.426,3002.490,0.000
645,12.000,3001.762,3001.058,3001.527,3001.887,3001.977,3002.159,3002.294,3002.788,3002.788,0.000
650,24.000,3001.636,3000.857,3001.273,3001.708,3001.894,3002.058,3002.165,3002.335,3002.441,0.000
655,24.000,3001.642,3001.045,3001.423,3001.609,3001.853,3002.171,3002.352,3002.493,3002.543,0.000
660,12.000,3001.759,3000.819,3001.627,3001.789,3002.013,3002.248,3002.326,3002.372,3002.372,0.000
665,24.000,3001.700,3000.816,3001.591,3001.764,3001.896,3002.022,3002.039,3002.230,3002.231,0.000
670,24.000,3001.678,3000.988,3001.478,3001.711,3001.880,3002.017,3002.150,3002.200,3002.274,0.000
675,12.000,3001.836,3001.241,3001.695,3001.841,3002.026,3002.150,3002.248,3002.314,3002.314,0.000
680,24.000,3001.777,3000.843,3001.560,3001.771,3001.921,3002.202,3002.486,3002.925,3003.004,0.000
685,24.000,3001.804,3001.069,3001.630,3001.747,3001.969,3002.363,3002.413,3002.441,3002.478,0.000
690,12.000,3001.717,3001.196,3001.600,3001.751,3001.875,3002.073,3002.306,3002.356,3002.356,0.000
695,24.000,3001.758,3001.111,3001.540,3001.722,3001.971,3002.074,3002.209,3002.671,3002.694,0.000
700,24.000,3001.710,3001.057,3001.555,3001.741,3001.876,3001.982,3002.096,3002.539,3002.552,0.000
705,12.000,3001.888,3001.091,3001.787,3001.881,3002.069,3002.221,3002.332,3002.562,3002.562,0.000
710,24.000,3001.695,3000.823,3001.563,3001.747,3001.860,3001.949,3001.993,3002.100,3002.215,0.000
715,24.000,3001.680,3000.862,3001.568,3001.671,3001.847,3002.000,3002.207,3002.406,3002.678,0.000
720,12.000,3001.814,3000.926,3001.638,3001.869,3001.987,3002.190,3002.254,3002.283,3002.283,0.000
725,24.000,3001.783,3000.906,3001.651,3001.779,3001.956,3002.169,3002.229,3002.337,3002.496,0.000
730,24.000,3001.707,3000.911,3001.568,3001.754,3001.886,3001.988,3002.061,3002.230,3002.264,0.000
735,12.000,3001.782,3000.832,3001.711,3001.830,3001.960,3002.045,3002.162,3002.316,3002.316,0.000
740,24.000,3001.752,3001.036,3001.593,3001.748,3001.884,3002.051,3002.151,3002.406,3002.828,0.000
745,24.000,3001.667,3000.841,3001.539,3001.692,3001.853,3001.967,3002.079,3002.203,3002.286,0.000
750,12.000,3001.504,3000.816,3001.371,3001.652,3001.739,3001.843,3001.949,3001.951,3001.951,0.000
755,24.000,3001.583,3000.882,3001.312,3001.686,3001.827,3001.964,3002.057,3002.465,3002.483,0.000
760,24.000,3001.631,3000.952,3001.358,3001.728,3001.880,3001.992,3002.100,3002.172,3002.249,0.000
765,12.000,3001.760,3000.827,3001.530,3001.898,3001.968,3002.163,3002.324,3002.427,3002.427,0.000
770,24.000,3001.674,3000.967,3001.568,3001.761,3001.877,3001.985,3002.025,3002.150,3002.191,0.000
775,24.000,3001.728,3000.846,3001.665,3001.801,3001.938,3001.989,3002.077,3002.396,3002.412,0.000
780,12.000,3001.681,3001.052,3001.334,3001.809,3001.929,3002.002,3002.029,3002.248,3002.248,0.000
785,24.000,3001.676,3000.986,3001.401,3001.694,3001.861,3002.050,3002.263,3002.448,3002.448,0.000
790,24.000,3001.640,3000.858,3001.390,3001.644,3001.855,3001.993,3002.300,3002.545,3002.546,0.000
795,12.000,3001.680,3000.868,3001.504,3001.730,3001.815,3002.100,3002.662,3002.784,3002.784,0.000
800,24.000,3001.579,3000.914,3001.305,3001.617,3001.831,3001.936,3001.998,3002.269,3002.354,0.000
805,24.000,3001.705,3001.135,3001.611,3001.739,3001.835,3001.950,3002.018,3002.117,3002.258,0.000
810,12.000,3001.685,3001.118,3001.498,3001.764,3001.899,3001.974,3002.105,3002.156,3002.156,0.000
815,24.000,3001.770,3000.964,3001.624,3001.825,3001.942,3002.018,3002.353,3002.407,3002.737,0.000
820,24.000,3001.707,3000.628,3001.605,3001.699,3001.868,3002.172,3002.380,3002.535,3002.655,0.000
825,12.000,3001.669,3000.664,3001.535,3001.624,3001.886,3002.115,3002.248,3002.868,3002.868,0.000
830,24.000,3001.770,3000.823,3001.648,3001.794,3001.987,3002.127,3002.214,3002.376,3002.572,0.000
835,24.000,3001.746,3001.108,3001.522,3001.763,3001.929,3002.107,3002.489,3002.897,3002.934,0.000
840,12.000,3001.741,3001.146,3001.619,3001.785,3001.859,3002.016,3002.141,3002.231,3002.231,0.000
845,24.000,3001.672,3000.990,3001.458,3001.724,3001.874,3002.074,3002.224,3002.332,3002.380,0.000
850,24.000,3001.701,3001.039,3001.632,3001.778,3001.885,3001.956,3002.014,3002.110,3002.112,0.000
855,12.000,3001.528,3000.936,3001.180,3001.653,3001.831,3001.941,3002.004,3002.285,3002.285,0.000
860,24.000,3001.702,3001.002,3001.495,3001.683,3001.858,3002.059,3002.459,3002.741,3002.833,0.000
865,24.000,3001.591,3000.844,3001.452,3001.637,3001.798,3001.923,3002.015,3002.174,3002.200,0.000
870,12.000,3001.643,3000.995,3001.375,3001.696,3001.870,3001.978,3002.336,3002.401,3002.401,0.000
875,24.000,3001.643,3000.871,3001.425,3001.657,3001.900,3002.033,3002.139,3002.268,3002.294,0.000
880,24.000,3001.606,3000.855,3001.259,3001.681,3001.850,3002.023,3002.234,3002.456,3002.481,0.000
885,12.000,3001.688,3001.126,3001.509,3001.779,3001.879,3002.000,3002.026,3002.198,3002.198,0.000
890,24.000,3001.727,3000.708,3001.644,3001.776,3001.910,3002.020,3002.111,3002.179,3002.216,0.000
895,24.000,3001.649,3000.681,3001.470,3001.702,3001.851,3001.990,3002.059,3002.209,3002.354,0.000
900,12.000,3001.647,3000.655,3001.538,3001.733,3001.866,3001.972,3001.992,3002.042,3002.042,0.000
905,24.000,3001.657,3000.621,3001.538,3001.693,3001.821,3002.036,3002.093,3002.169,3002.314,0.000
910,24.000,3001.668,3000.621,3001.524,3001.706,3001.846,3002.053,3002.147,3002.323,3002.331,0.000
915,12.000,3001.686,3000.622,3001.558,3001.757,3001.867,3002.048,3002.069,3002.118,3002.118,0.000
920,24.000,3001.737,3000.585,3001.589,3001.742,3001.956,3002.160,3002.207,3002.354,3002.367,0.000
925,24.000,3001.694,3000.571,3001.551,3001.743,3001.855,3002.069,3002.258,3002.336,3002.373,0.000
930,12.000,3001.661,3000.602,3001.574,3001.740,3001.867,3001.941,3002.034,3002.182,3002.182,0.000
935,24.000,3001.681,3000.557,3001.496,3001.728,3001.937,3002.056,3002.126,3002.209,3002.272,0.000
940,24.000,3001.689,3000.557,3001.471,3001.733,3001.907,3002.033,3002.183,3002.811,3002.890,0.000
945,12.000,3001.617,3000.946,3001.451,3001.679,3001.847,3001.918,3001.967,3002.000,3002.000,0.000
950,24.000,3001.648,3001.071,3001.454,3001.699,3001.849,3001.942,3002.162,3002.269,3002.837,0.000
955,22.800,3001.812,3000.854,3001.602,3001.819,3002.071,3002.370,3002.411,3002.525,3002.616,0.000
