2025-03-07T12:22:05.193140Z 0 [System] [MY-010116] [Server] /home/vagrant/mysql/mysql-server-mysql-8.0.39/dist-sst-race-0003/bin/mysqld (mysqld 8.0.39-tsan) starting as process 5121
2025-03-07T12:22:05.248029Z 1 [System] [MY-013576] [InnoDB] InnoDB initialization has started.
2025-03-07T12:22:07.749432Z 1 [System] [MY-013577] [InnoDB] InnoDB initialization has ended.
2025-03-07T12:22:11.824113Z 0 [Warning] [MY-010068] [Server] CA certificate ca.pem is self signed.
2025-03-07T12:23:26.133751Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.133865Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134020Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134149Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134267Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134383Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134496Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134627Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134764Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.134892Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
2025-03-07T12:23:26.135020Z 0 [ERROR] [MY-012894] [InnoDB] Unable to open './#innodb_redo/#ib_redo161' (error: 1504).
